,Unnamed: 0,OBJECTID,Shape,source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,comments,event_import_source,event_import_id,latitude,longitude,country_name,country_code,admin_division_name,gazetteer_closest_point,gazetteer_distance,submitted_date,last_edited_date,elev_files
2127,8697,4616710,"(-122.18169999999998, 47.00140000000005)",columbian,http://www.columbian.com/news/2010/dec/12/bnsf-tracks-near-ridgefield-opened-to-freight-trai/,2818,2010-12-12 04:00:00,04:00,"Tracks near Tacoma,WA",Melonas said heavy rains also caused a slide near Tacoma about 4:30 a.m. Sunday that closed the line.,"Tracks near Tacoma,WA",50km,landslide,downpour,medium,unknown,0.0,,,,,GLC,2818.0,47.0014,-122.1817,United States,US,Washington,Orting,10.7,2014-04-01 00:00:00,2021-04-10 04:39:53,2127.tiff
2128,8699,4616712,"(-123.14269999999999, 45.91590000000008)",Oregon DOT,,8521,2012-12-16 21:00:00,21:00,"OR 47, milepost 56",,"OR 47, milepost 56",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,ODOT,8521.0,45.9159,-123.1427,United States,US,Oregon,Mist,11.31,2016-07-07 14:16:11.000001,2021-04-10 04:39:04,2128.tiff
2129,8700,4616713,"(-107.8397, 37.335000000000036)",durangoherald.com,http://durangoherald.com/article/20130919/NEWS01/130919460/-1/s,5545,2013-09-19 18:00:00,17:00,"Durango, Co","Residents living beneath the imposing red cliffs that border East Animas Road north of Durango had the same story Thursday _ pouring rain, pounding hail, crashing boulders and oozing mud. Road crews worked Thursday to clear County Road 250 for two-lane traffic. La Plata County officials say it will be weeks before all the debris dries out enough for removal from the roadside. Only their words differed as they described the sudden, fast-moving storm that left houses wrecked, yards full of debris and 10 to 12 feet of muck, including boulders as big as a car on East Animas Road (County Road 250). ÒI live out here and found 2.65 inches of rain in my gauge,Ó said Butch Knowlton, director of the La Plata County Office of Emergency Management. ÒAnother resident reported 3.1 inches.Ó ÒIt all fell in 45 minutes,Ó Knowlton said. ÒIf you had looked at the cliffs at the height of the storm, you wouldn't have seen them. It would have been like looking at Niagara Falls.Ó The section of East Animas R","Durango, Co",1km,debris_flow,downpour,medium,unknown,0.0,,,,,GLC,5545.0,37.335,-107.8397,United States,US,Colorado,Durango,7.46,2014-04-01 00:00:00,2021-04-10 04:41:29,2129.tiff
2130,8704,4616717,"(-77.77849999999995, 40.79180000000008)",We are Central PA,http://www.wearecentralpa.com/story/d/story/heavy-rains-cause-mudslide/12366/n1F7Qs1HEUGo10wSZcjhDQ,6103,2014-06-25 00:00:00,,"Boalsburg, Pennsylvania","Families living along Linden Hall Road are trying to figure out how this happened to their properties again.  ""I came in and looked out the window and this wall of water was coming down the road with rocks and into our property,"" says Darlene Smith, a woman who has lived along the road for forty years. Wednesday afternoon, Smith called her daughter-in-law, crying and saying she doesn't want to live in the house anymore after having this happen again. ""This is the most damage, I think, it's ever had from water,"" says Carla Meyers, Smith's daughter-in-law.  ""It's not from the streams.  It's from man-made problems from the Oak Hall Regional Park."" ""It appears the retaining pond got filled up and overflowed,"" says Bill Smith, Darlene's family member who came by to check out the damage to the house and the area.  ""It basically pushed all the water right down the hill instead of putting it on the other side of the road and making it go down to the streams."" Officials came to assess the damag","Boalsburg, Pennsylvania",5km,mudslide,rain,small,unknown,0.0,0.0,,,,GLC,6103.0,40.7918,-77.7785,United States,US,Pennsylvania,State College,7.22,2014-08-24 00:00:00,2021-04-10 04:39:04,2130.tiff
2131,8706,4616719,"(-123.75179999999995, 46.185700000000054)",Oregon DOT,,8399,2014-01-23 14:00:00,14:00,"US 30, milepost 94",,"US 30, milepost 94",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,ODOT,8399.0,46.1857,-123.7518,United States,US,Oregon,Astoria,5.5600000000000005,2016-07-06 15:29:38,2021-04-10 04:41:29,2131.tiff
2132,8711,4616724,"(-83.71929999999998, 38.648700000000076)",maysville-online,http://www.maysville-online.com/news/local/article_dae87c58-75c9-11e0-8a71-001cc4c03286.html,3458,2011-05-03 09:00:00,09:00,"US 52 between Aberdeen and Adams county line, near county line, Brown county, OH","May 3, 2011 10:00 pm  Rain humor dried up as another deluge dumped inch after inch of water on Mason County and neighboring counties, Tuesday. …  By 10 a.m., a flood warning, covering Mason, Bracken, Robertson, Fleming and Lewis counties in Kentucky and Adams and Brown counties in Ohio had been issued through 2 p.m., then changed to a flood watch through early evening, adding a special weather statement to be aware for possible mudslides in steep areas with saturated soil.  …  According to Ohio Department of Transportation officials, U.S. 52 in Brown County is now open to one lane of traffic between Aberdeen and Ripley following its early-morning closure due to a landslide. U.S. 52 is also reduced to one lane between Aberdeen and the Adams County line due to mudslide in this area.  ----  Traffic was reduced to one lane Tuesday on a section of US 52 east of Aberdeen, near the Adams County line, as a result of mudslides as well. Crews were expected to remain on the highway into Tuesday n","US 52 between Aberdeen and Adams county line, near county line, Brown county, OH",5km,mudslide,downpour,medium,unknown,0.0,,,,,GLC,3458.0,38.6487,-83.7193,United States,US,Ohio,Maysville,8.78,2014-04-01 00:00:00,2021-04-10 04:41:29,2132.tiff
2133,8716,4616729,"(-124.40449999999998, 42.27900000000005)",Oregon DOT,,8544,2012-11-21 04:00:00,04:00,"US 101, milepost 339",,"US 101, milepost 339",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,ODOT,8544.0,42.279,-124.4045,United States,US,Oregon,Pistol River,1.91,2016-07-07 15:02:58,2021-04-10 04:38:14,2133.tiff
2134,8719,4616732,"(-108.18419999999998, 43.513000000000034)",Cody Enterprise,http://www.codyenterprise.com/news/local/article_cfe9cba0-0be6-11e6-9def-bb2f4ad5247e.html,7659,2016-04-26 12:00:00,12:00,Wind River Canyon near milepost 121.9,"Rainy weather caused a rock slide to occur at 12:30 p.m. Tuesday in Wind River Canyon near milepost 121.9, about 9 miles south of Thermopolis. No damage occurred to the roadway and the slide was cleared by 1 p.m.",Wind River Canyon near milepost 121.9,5km,rock_fall,rain,small,above_road,0.0,0.0,,http://bloximages.chicago2.vip.townnews.com/codyenterprise.com/content/tncms/assets/v3/editorial/0/a2/0a22a710-0be7-11e6-bd67-33f9ad0e3e63/571fc4c548807.image.jpg,,GLC,7659.0,43.513,-108.1842,United States,US,Wyoming,Thermopolis,15.15,2016-04-28 15:05:08,2021-04-10 04:49:36,2134.tiff
2135,8721,4616734,"(-105.29099999999994, 40.68930000000006)",www.coloradoan.com,http://www.coloradoan.com/article/20130712/NEWS01/307120031/Mudslides-trap-motorists-close-road-Poudre-Canyon?nclick_check=1,5080,2013-07-12 15:00:00,15:00,"Ted'S Place And Stove Prairie Road, Colorado Highway 14, Poudre Canyon, Co","Two mudslides in the Poudre Canyon trapped motorists and closed Colorado Highway 14 northwest of Fort Collins on Friday. Large rocks and logs were swept into the canyon after an afternoon thunderstorm dumped more than 2 inches of rain on slopes charred by last summerÕs High Park Fire. The afternoon deluge left travelers stranded as road crews worked into the evening to clear tons of debris. The two road-clogging mudslides were located about a mile west of the Mishawaka Amphitheatre and trapped vehicles between them. Mish owner Dani Grant said the popular concert venue stayed open, with its Friday River Beats concert continuing despite the sour weather.","Ted'S Place And Stove Prairie Road, Colorado Highway 14, Poudre Canyon, Co",10km,mudslide,downpour,medium,unknown,0.0,,,,,GLC,5080.0,40.6893,-105.291,United States,US,Colorado,Owl Canyon,12.37,2014-04-01 00:00:00,2021-04-10 04:44:41,2135.tiff
2136,8722,4616735,"(-122.74439999999998, 44.98610000000008)",Oregon DOT,,8361,2014-03-03 14:00:00,13:00,"OR 214, milepost 38",,"OR 214, milepost 38",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,ODOT,8361.0,44.9861,-122.7444,United States,US,Oregon,Silverton,10.87,2016-07-06 14:10:49,2021-04-10 04:46:21,2136.tiff
2137,8724,4616737,"(-123.81089999999995, 46.166900000000055)",Oregon DOT,,8412,2013-12-27 12:00:00,12:00,"OR 202, milepost 3",,"OR 202, milepost 3",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,ODOT,8412.0,46.1669,-123.8109,United States,US,Oregon,Astoria,3.05,2016-07-06 16:02:26,2021-04-10 04:46:21,2137.tiff
2138,8727,4616740,"(-123.93609999999995, 44.63980000000004)",Oregon DOT,,8042,2015-12-20 08:00:00,08:00,"US 20, milepost 6.5",,"US 20, milepost 6.5",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,ODOT,8042.0,44.6398,-123.9361,United States,US,Oregon,Toledo,1.91,2016-06-30 18:22:29,2021-04-10 04:42:16,2138.tiff
2139,8729,4616742,"(-158.24749999999997, 21.555000000000064)",kgmb9.com,http://kgmb9.com/main/content/view/11732/40/,900,2008-11-22 00:00:00,,"Farrington Highway near Yokohama Bay, Ohau, HI","Leeward Oahu was hit with rain, landslides and stormy surf on Saturday. Workers cleared several small landslides off Farrington Highway near Yokohama Bay. A few of the boulders were bigger than a basketball. ","Farrington Highway near Yokohama Bay, Ohau, HI",5km,complex,downpour,medium,unknown,,,,,,GLC,900.0,21.555,-158.2475,United States,US,Hawaii,Dillingham,5.8100000000000005,2014-04-01 00:00:00,2021-04-10 04:43:03,2139.tiff
2140,8731,4616744,"(-121.68699999999995, 36.860700000000065)",kionrightnow,http://www.kionrightnow.com/Global/story.asp?S=12054089,1528,2010-02-26 00:00:00,,"Maher road at Tarpey Road in Prunedale, CA",California Highway Patrol is reporting several road issues due to heavy rains.  Here are the most pressing right now: At Maher road at Tarpey Road in Prunedale. CHP is  responding to mud slide blocking entire roadway. CHP is reporting that mud is think enough to flip a car. Also mud slide at Hidden Valley Road at Strawberry Road.  Mud is across 1/2 of that roadway.,"Maher road at Tarpey Road in Prunedale, CA",1km,mudslide,downpour,small,unknown,0.0,,,,,GLC,1528.0,36.8607,-121.687,United States,US,California,Watsonville,7.53,2014-04-01 00:00:00,2021-04-10 04:49:36,2140.tiff
2141,8738,4616751,"(-121.03649999999999, 38.90970000000004)",bworldonline,"http://www.bworldonline.com/content.php?title=Landslides, floods cause deaths, displacement in Visayas&id=28241",3232,2011-03-15 23:00:00,23:00,"rt 49, near American River confluence, between Auburn and Cool, CA","Caltrans also reported cleaning fallen rocks off the rural, winding Highway 193 overnight. A crew was also busy near the American River confluence, where a mudslide sent debris onto Highway 49 between Auburn and Cool. ","rt 49, near American River confluence, between Auburn and Cool, CA",1km,mudslide,downpour,medium,unknown,0.0,,,,,GLC,3232.0,38.9097,-121.0365,United States,US,California,Auburn,3.11,2014-04-01 00:00:00,2021-04-10 04:49:36,2141.tiff
2142,8741,4616754,"(-76.92159999999996, 38.81620000000004)",Hazard Mitigation Plan,http://www.princegeorgescountymd.gov/sites/Sustainable/Services/FloodManagement/Documents/PG-Laurel_HazardMitPlan.pdf,6585,2008-05-11 06:00:00,06:00,south side of Yorkville Road,"A significant subsidence incident occurred on May 11-12, 2008, after 12 hours of  continuous and relatively uniformly distributed rainfall (average 0.25 inch rain/hour).  The area behind five homes on the south side of Yorkville Road was affected, resulting in  the formation of a sinkhole approximately 500 feet long, 100 feet wide and 10 feet deep.  In 2009, the Department of Environmental Resources obtained HMGP funds to acquire  the properties, demolish the homes, stabilize the site, and retain the land in open space.",south side of Yorkville Road,exact,other,continuous_rain,medium,above_river,0.0,0.0,,http://www.sott.net/image/8998/prince_george_sinkhole.jpg,,GLC,6585.0,38.8162,-76.9216,United States,US,Maryland,"Andrews AFB, NAF",4.78,2015-06-01 18:48:03,2021-04-10 04:44:41,2142.tiff
2143,8745,4616758,"(-122.00269999999995, 37.09760000000006)",scottsvalley.patch,http://scottsvalley.patch.com/articles/storm-leaves-scotts-valley-residents-without-power,3284,2011-03-24 16:00:00,16:00,"2601 Glenwood Dr., Scott's Valley, CA","Scotts Valley residents in the area around Glenwood and Northridge drives are without power after a mudslide came down on one section of the roadway and trees and power lines came down onto another section on Thursday evening.  “We’ve had no power since yesterday around 4 p.m.,” said Blair Mandell, who lives off of Northridge Drive. “There was a tree down that was also blocking the road, so we were landlocked for the night.”  The Scotts Valley Fire District received a call at 6:30 p.m. Thursday from a Glenwood Drive homeowner who said his driveway was sliding some. Shortly after arriving, firefighters saw the entire driveway along with mud and debris come crashing down into the road, according to Battalion Chief Jim Delucchi.  The homeowner who made the call was with firefighters when the driveway went down, but his wife was still in the home.  We had to hike up there to get the woman out,” Delucchi said. “Luckily, she was fine, and no one else was hurt.”  Delucchi said the home itself","2601 Glenwood Dr., Scott's Valley, CA",1km,mudslide,downpour,medium,unknown,0.0,,,,,GLC,3284.0,37.0976,-122.0027,United States,US,California,Boulder Creek,10.57,2014-04-01 00:00:00,2021-04-10 04:47:09,2143.tiff
2144,8748,4616761,"(-80.70699999999994, 40.557300000000055)",wtov9,http://www.wtov9.com/news/15690351/detail.html,485,2008-03-24 00:00:00,,"Hammondville, Ohio",near Rt. 7,"Hammondville, Ohio",5km,landslide,rain,small,unknown,,,,,,GLC,485.0,40.5573,-80.707,United States,US,Ohio,E Liverpool,6.33,2014-04-01 00:00:00,2021-04-10 04:42:16,2144.tiff
2145,8751,4616764,"(-122.58429999999998, 43.288500000000056)",Oregon DOT,,8628,2012-03-22 09:00:00,09:00,"OR 138, milepost 49",,"OR 138, milepost 49",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,ODOT,8628.0,43.2885,-122.5843,United States,US,Oregon,Steamboat,13.67,2016-07-07 17:25:31,2021-04-10 04:49:36,2145.tiff
2146,8755,4616768,"(-156.64639999999997, 20.89390000000003)",Hawaii News Now,http://www.hawaiinewsnow.com/story/33099927/some-west-maui-residents-trapped-day-after-major-flooding,9498,2016-09-15 00:00:00,,Kauaula Valley,West Maui residents in Kauaula Valley woke up to massive boulders outside their front doors on Wednesday morning and no way get out.,Kauaula Valley,10km,debris_flow,downpour,medium,unknown,0.0,0.0,,,,GLC,9498.0,20.8939,-156.6464,United States,US,Hawaii,Lahaina,3.07,2016-09-28 17:01:38,2021-04-10 04:43:03,2146.tiff
2147,8756,4616769,"(-82.51659999999998, 35.62530000000004)",WLOS,http://wlos.com/news/local/rockslide-shuts-portion-of-town-mountain-road,9227,2016-01-17 15:00:00,15:00,Town Mountain Road,"One lane of Town Mountain Road is open following a rockslide Sunday afternoon.  Crews working to clear the road said they are stopping work overnight and will continue Monday morning.   ____________________________________   BUNCOMBE COUNTY, N.C. -- A rockslide has shut down a portion of Town Mountain Road.  It happened around the 1100 block.  The road is blocked in both directions.   Reems Creek Fire Department and the state Department of Transportation is on the scene.  We also have a crew on the scene and will bring you updates online and tonight at 6p.m. and 11 p.m. on ABC News 13 and at 10 on MY40.",Town Mountain Road,5km,rock_fall,rain,small,above_road,0.0,0.0,,,,GLC,9227.0,35.6253,-82.5166,United States,US,North Carolina,Asheville,5.82,2016-07-29 14:50:56,2021-04-10 04:46:21,2147.tiff
2148,8761,4616774,"(-122.13229999999999, 47.31740000000008)",Q13 FOX.com,http://q13fox.com/2014/02/21/landslide-closes-section-of-auburn-black-diamond-road/#http://q13fox.com/2014/02/21/landslide-closes-section-of-auburn-black-diamond-road/%23axzz36FXex2gt,5891,2014-02-21 00:00:00,,"15221-16057 SE Auburn-Black Diamond Rd Auburn, WA 98092","AUBURN, Wash – A large landslide along the Auburn Black Diamond Road has closed a section of that road as crews work to stabilize the hillside. Tim Perciful with King County Fire District 44 said the road is closed between 148th Way SE and 161 Ave SE. ","15221-16057 SE Auburn-Black Diamond Rd Auburn, WA 98092",1km,landslide,unknown,medium,below_road,0.0,0.0,,,,GLC,5891.0,47.3174,-122.1323,United States,US,Washington,Crest Airpark,3.0,2014-08-24 00:00:00,2021-04-10 04:47:09,2148.tiff
2149,8776,4616789,"(-123.65789999999998, 43.65540000000004)",Oregon DOT,,8252,2014-12-21 09:00:00,09:00,"OR 38, milepost 29.5",,"OR 38, milepost 29.5",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,ODOT,8252.0,43.6554,-123.6579,United States,US,Oregon,Elkton,8.22,2016-07-05 18:25:28,2021-04-10 04:49:36,2149.tiff
2150,8781,4616794,"(-111.6368, 45.47160000000008)",NorthWestern Energy,http://www.northwesternenergy.com/news/2016/04/18/Rock-Slide-Damages-Road-Limits-Access-to-Madison-Hydro-Plant,7638,2016-04-17 00:00:00,,Madison Hydroelectric Plant,"On Sunday, April 17, a rock fall punctured a flow line that serves the hydroelectric dam. A leak in the flow line caused by the rock damage washed out the road below the line, causing the road to be closed out of concern for public safety.",Madison Hydroelectric Plant,50km,rock_fall,unknown,small,unknown,0.0,0.0,,,,GLC,7638.0,45.4716,-111.6368,United States,US,Montana,McAllister,8.78,2016-04-20 00:43:53,2021-04-10 04:40:41,2150.tiff
2151,8782,4616795,"(-122.30993274199994, 47.924998868000046)",Seattle Times,https://web.archive.org/web/20110201185004/http://seattletimes.nwsource.com/html/localnews/2014077704_apwamudslidetrains.html,3072,2011-01-29 13:00:00,13:00,"tracks near Mukilteo, WA","Passenger train service near Mukilteo has been shut down for 48 hours following a mudslide on the Burlington Northern Santa Fe tracks.  BNSF spokesman Gus Melonas said the midday slide of mud, rocks and other debris in Western Washington was cleaned up by 2:30 p.m. The railroad put a moratorium on passenger travel for the 48-hours following 1 p.m. Saturday as a safety precaution.  Amtrak says it will continue service between Seattle and British Columbia by busing passengers around the slide area.","tracks near Mukilteo, WA",5km,mudslide,downpour,small,above_road,,,,,,GLC,3072.0,47.92499887,-122.30993274,United States,US,Washington,Snohomish County Paine Field,2.76,2014-04-01 00:00:00,2021-04-10 04:43:03,2151.tiff
2152,8790,4616803,"(-123.33419999999995, 43.40460000000007)",Oregon DOT,,8323,2014-03-28 12:00:00,12:00,"I 5, milepost 137.8",,"I 5, milepost 137.8",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,ODOT,8323.0,43.4046,-123.3342,United States,US,Oregon,Sutherlin,2.21,2016-07-05 19:55:05,2021-04-10 04:43:52.000001,2152.tiff
2153,8798,4616811,"(-124.31429999999995, 42.17640000000006)",Oregon DOT,,8595,2012-04-14 12:00:00,12:00,"OR 255, milepost 353",,"OR 255, milepost 353",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,ODOT,8595.0,42.1764,-124.3143,United States,US,Oregon,Brookings,13.34,2016-07-07 15:57:26.000001,2021-04-10 04:41:29,2153.tiff
2154,8802,4616815,"(-82.53769999999997, 35.636900000000026)",www.mountainx.com,http://www.mountainx.com/article/51561/City-begins-work-to-repair-landslide-damaged-roads,5029,2013-07-04 00:00:00,,"58 Spooks Branch Road, Asheville, Nc","As City of Asheville crews continue to address roadways affected by landslides during recent record-breaking rains, contractors began work Tuesday on two sites where landslide damage was more extensive. Spooks Branch Road and an area near the intersection of Skyview Place and Sunset Drive, all in North Asheville, experienced landslides earlier this month due to heavy rains. Both instances resulted in lane or road closures. Assessment of the projectsÕ scope began as soon as weather and the soil stability on site permitted. Because of the magnitude of their damage, the Skyview and Spooks Branch locations required working with outside contractors. ÒWe initiated an aggressive schedule,Ó said Streets and Engineering Services Manager Greg Shuler. During the bank restoration and repair, some road and lane closures are expected. During that time, barricades and markers will be used to indicate road or lane closures. In the interest of public safety, motorists are asked to observe markers and n","58 Spooks Branch Road, Asheville, Nc",1km,landslide,downpour,medium,unknown,,,,,,GLC,5029.0,35.6369,-82.5377,United States,US,North Carolina,Asheville,5.45,2014-04-01 00:00:00,2021-04-10 04:42:16,2154.tiff
2155,8803,4616816,"(-123.96099999999996, 45.82620000000003)",Oregon DOT,,8602,2012-04-02 12:00:00,12:00,"US 101, milepost 34",,"US 101, milepost 34",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,ODOT,8602.0,45.8262,-123.961,United States,US,Oregon,Arch Cape,2.02,2016-07-07 16:01:50,2021-04-10 04:44:41,2155.tiff
2156,8806,4616819,"(-119.72199999999998, 39.03690000000006)",KOLO8 TV,http://www.kolotv.com/home/headlines/Flash-Flood-Covers-Minden-Neighborhood-in-6-Feet-of-Mud-268046191.html,6163,2014-07-20 00:00:00,,"Minden, Nevada","It's going to take months to clean up. A Minden neighborhood on Monday continued the effort to fix all the problems caused by Sunday's storm and flash flooding. The problem came from the mountains to the north of the neighborhood. A storm cell early Sunday afternoon hovered above and dropped torrential rain for about 20 minutes. All that rain flowed down the mountain, picking up mud and leaving behind a mess. ""It started raining, hailing, we were getting it on video. and then heard a loud noise and the whole mountain started coming down in our backyard,"" said Daylin Olson, who saw the debris flow inundate her backyard. The entire Johnson Lane neighborhood was turned into a river of mud and debris. ""Never. I would never expect this to happen. Ever,"" said Daylin, who captured some pretty amazing video of what happened. Hardest hit was the Olsen home and Mac Drive. It was left surrounded on all sides by mud which was in some places up to 6 feet deep.","Minden, Nevada",5km,mudslide,downpour,small,unknown,0.0,0.0,,,,GLC,6163.0,39.0369,-119.722,United States,US,Nevada,Douglas County,4.76,2014-08-24 00:00:00,2021-04-10 04:44:41,2156.tiff
2157,8808,4616821,"(-116.53689999999995, 32.911200000000065)",eastcountymagazine.org,http://eastcountymagazine.org/node/5520,3135,2011-02-18 00:00:00,,"mile marker 17, Sunrise Hwy., Alpine, CA","February 18, 2011 (Alpine) – A solo vehicle spun out of control, rolling overall several times shortly before 10 p.m. tonight on eastbound I-8 just west of Willows Road in Alpine. According to the California Highway Patrol website, one patient is bleeding from the head.  In addition CHP has received a report of a mudslide or rockslide on Sunrise Highway near mile marker 17. A separate caller reported a boulder on the southbound side of Sunrise Highway near old Highway 80. ","mile marker 17, Sunrise Hwy., Alpine, CA",25km,complex,downpour,medium,unknown,0.0,,,,,GLC,3135.0,32.9112,-116.5369,United States,US,California,Guatay,6.63,2014-04-01 00:00:00,2021-04-10 04:39:04,2157.tiff
2158,8811,4616824,"(-120.15159999999997, 44.610700000000065)",Oregon DOT,,8170,2015-07-20 09:00:00,09:00,"OR 207, milepost 21",,"OR 207, milepost 21",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,ODOT,8170.0,44.6107,-120.1516,United States,US,Oregon,Mitchell,4.97,2016-07-01 17:25:56,2021-04-10 04:43:52.000001,2158.tiff
2159,8813,4616826,"(-124.11939999999998, 43.74870000000004)",Oregon DOT,,8577,2012-10-16 06:00:00,06:00,"US 101, milepost 208",,"US 101, milepost 208",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,ODOT,8577.0,43.7487,-124.1194,United States,US,Oregon,Reedsport,5.54,2016-07-07 15:37:38,2021-04-10 04:47:09,2159.tiff
2160,8815,4616828,"(-83.18059999999997, 36.86190000000005)",Harlan Daily,http://www.harlandaily.com/news/news/152198060/Mudslide-near-Evarts-damages-homes,6820,2015-03-04 21:00:00,21:00,Gilbertville Road just off KY 215,"“I believe one home was knocked off of its foundation and some vehicles were covered with mud,” said Manning. “Officer Teagle stayed on the scene along with the Evarts Fire Department. Harlan County Emergency Management was also on hand to assist as needed. I went to the area at about 11:30 p.m. and from what I could see it was the mountainside that just came down. It was dark and that hindered being able to help. Homeowners were given the opportunity to come to a shelter, but they chose to stay close to their homes for security reasons.”",Gilbertville Road just off KY 215,1km,mudslide,downpour,medium,natural_slope,0.0,0.0,,http://loweb.htl.dc.publicus.com/apps/pbcsi.dll/storyimage/LO/20150309/news/303099967/AR/0/AR-303099967.jpg,,GLC,6820.0,36.8619,-83.1806,United States,US,Kentucky,Harlan,13.25,2015-03-27 19:08:51,2021-04-10 04:47:09,2160.tiff
2161,8817,4616830,"(-123.82159999999999, 44.060100000000034)",Oregon DOT,,7976,2016-03-10 10:00:00,10:00,"OR 36, milepost 7",,"OR 36, milepost 7",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,ODOT,7976.0,44.0601,-123.8216,United States,US,Oregon,Florence Municipal,24.67,2016-06-30 16:21:09,2021-04-10 04:48:47,2161.tiff
2162,8819,4616832,"(-84.56039999999996, 39.09780000000006)",wvxu,http://www.wvxu.org/news/wvxunews_article.asp?ID=8751,3410,2011-04-25 00:00:00,,"Elberon road, near Mt. Hope ave., Cincinnati, OH",4/27/2011 5:20:27 PM  And two small slides on Elberon by Mt. Hope.,"Elberon road, near Mt. Hope ave., Cincinnati, OH",1km,landslide,downpour,small,unknown,0.0,,,,,GLC,3410.0,39.0978,-84.5604,United States,US,Ohio,Cincinnati,9.11,2014-04-01 00:00:00,2021-04-10 04:43:03,2162.tiff
2163,8825,4616838,"(-91.21319999999997, 43.48600000000005)",Fox News,http://www.foxnews.com/us/2016/09/23/latest-2nd-death-reported-amid-wisconsin-flooding.html,9592,2016-09-23 00:00:00,,"Victory, Wisconsin","Heavy rain, flooding and mudslides have caused widespread damage in Victory, an unincorporated community in the Town of Wheatland. Authorities say 53-year-old resident Michael McDonald died after his house slid onto Highway 35 on Thursday.","Victory, Wisconsin",5km,mudslide,downpour,medium,above_road,1.0,0.0,,,,GLC,9592.0,43.486,-91.2132,United States,US,Wisconsin,Lansing,13.89,2016-10-13 20:22:15,2021-04-10 04:46:21,2163.tiff
2164,8827,4616840,"(-122.30899999999997, 47.92770000000007)",Oregon Live,http://www.oregonlive.com/pacific-northwest-news/index.ssf/2014/12/landslide_closes_amtrak_rails.html,6606,2014-12-28 10:00:00,09:00,BNSF Railway tracks north of Seattle,"BNSF spokesman Gus Melonas said the 9:30 a.m. slide poured a five-foot wall of debris along 30 feet of track, The Associated Press reported. Included among the debris was a 50-foot tree.",BNSF Railway tracks north of Seattle,50km,mudslide,rain,small,above_road,0.0,0.0,,,,GLC,6606.0,47.9277,-122.309,United States,US,Washington,Snohomish County Paine Field,2.93,2014-12-29 22:24:45,2021-04-10 04:39:53,2164.tiff
2165,8828,4616841,"(-111.74479999999994, 40.478800000000035)",fox13now.com,http://fox13now.com/2013/07/17/burn-scars-cause-mudslide-concerns/,5116,2013-07-16 23:00:00,23:00,"Quail Fire Burn Scar Near Lambert Park Outside Of Box Elder Canyon, Alpine, Ut","The National Weather Service is monitoring burn scars statewide as heavy rains make mudslides a possibility. The state obtained a federal grant last year for four weather stations, which are located at the largest burn scars in the state. One station is above Alpine, which saw mud flows Tuesday night caused by the run off from the Quail Fire burn scar.","Quail Fire Burn Scar Near Lambert Park Outside Of Box Elder Canyon, Alpine, Ut",5km,mudslide,downpour,small,unknown,0.0,,,,,GLC,5116.0,40.4788,-111.7448,United States,US,Utah,American Fork,10.31,2014-04-01 00:00:00,2021-04-10 04:40:41,2165.tiff
2166,8829,4616842,"(-122.49419999999998, 47.29060000000004)",thenewstribune,http://www.thenewstribune.com/2010/10/11/1377826/landslide-blocks-street-near-ruston.html,2586,2010-10-10 00:00:00,,"4500 block of North Waterview Street in Tacoma, WA","A landslide has blocked the 4500 block of North Waterview Street in Tacoma. The slide, which happened Sunday, also knocked out a water main. About 10 Tacoma Public Utilities customers were affected, said TPU spokeswoman Chris Gleason. Waterview Street remains blocked because of the landslide. The slide occurred on North Waterview Street above Ruston Way along Tacoma's waterfront. Heavy rains loosened the hillside, causing the road to collapse and a major water main break. KIRO 7 Eyewitness News partner the News Tribune reports that at least ten Tacoma Public Utilities customers were impacted.","4500 block of North Waterview Street in Tacoma, WA",1km,landslide,downpour,small,unknown,0.0,,,,,GLC,2586.0,47.2906,-122.4942,United States,US,Washington,Tacoma,0.93,2014-04-01 00:00:00,2021-04-10 04:46:21,2166.tiff
